Overall,Sweetness,Mellowness,Cost,Notes
1,2,2,2,2,blah blended
2,1,5,2,1,perfume-y
3,,,,,
4,3,4,2,1,tastes like jack daniels
5,,,,,
6,1,4,5,2,
7,,,,,
8,2,2,2,3,tastes like medicine
9,,,,,
10,4,3,5,3,is this bulleit?
11,2,2,2,2,blah blended
12,4,2,3,3,watery
13,,,,,
14,4,2,5,2,was good but tasted like nothing
15,,,,,
16,1,3,3,2,
