Overall,Sweetness,Mellowness,Cost,Notes
1,3,3,4,3,uncomplicated
2,,,,,
3,4,5,5,4,nice gentle warming
4,,,,,
5,2,4,2,2,tastes like burning
6,,,,,
7,2,2,2,2,enters the mouth like liquid soap
8,,,,,
9,1,1,1,1,no flavor all burn
10,,,,,
11,3,2,3,3,
12,,,,,
13,2,2,2,2,
14,,,,,
15,3,3,3,3,not much flavor
16,,,,,
