Overall,Sweetness,Mellowness,Cost,Notes
1,2,5,5,3,more bananas but not as good
2,,,,,
3,2,1,2,1,
4,,,,,
5,3,2,2,1,
6,,,,,
7,1,4,4,1,
8,,,,,
9,1,1,1,1,it slices you in the throat and then steps on your larynx it made me infertile
10,,,,,
11,4,3,3,3,bananas in a good way (jim beam?)
12,,,,,
13,3,1,3,2,standard decent whiskey
14,,,,,
15,3,2,3,2,
16,,,,,
