Overall,Sweetness,Mellowness,Cost,Notes
1,1,3,1,2,vodka finish
2,2,3,3,3,
3,4,3,4,4,smooth---real whiskey! oaky
4,1,2,1,1,nail polish
5,2,3,1,2,ugh---harsh blend?
6,3,2,4,3,
7,1,1,2,1,vodka banana?
8,1,1,1,1,burny tingle
9,1,1,1,1,vodka? buzzy
10,2,4,2,2,bad rye?
11,4,4,3,5,still good!
12,4,2,2,4,rye?
13,3,1,3,3,noxious aroma tastes better than smells
14,4,3,5,4,
15,2,1,2,2,odd off flavor
16,3,2,2,3,
