Overall,Sweetness,Mellowness,Cost,Notes
1,1,3,3,4,rye? (cost=15)
2,,,,,
3,2,3,2,3,Jim (cost=13)
4,3,,,,
5,5,2,3,2,rye (cost=12)
6,,,,,
7,3.5,4,4,4,OG (cost=15)
8,,,,,
9,2,,,,not good
10,,,,,
11,4,3,3,5,(cost=17)
12,,,,,
13,1.5,2,1,1,
14,,,,,terrible but not as bad as 1
15,3,3,4.5,3,(cost=13)
16,,,,,
